ticker,time,current_price,min,max,n_window_sma,percentage_change,abs_change
ALGN,2021-08-15T16:17:16.404170200Z,$691.19,$137.72,$708.01,$651.85,243.65%,$407.51
AMZN,2021-08-15T16:17:16.404170200Z,$3293.97,$1676.61,$3731.41,$3527.62,173.55%,$1395.96
GOOGL,2021-08-15T16:17:16.404170200Z,$2754.55,$1054.13,$2754.55,$2626.56,201.26%,$1385.87
GOOG,2021-08-15T16:17:16.404170200Z,$2768.12,$1056.62,$2792.89,$2683.74,202.44%,$1400.75
AMD,2021-08-15T16:17:16.404170200Z,$110.55,$38.71,$118.77,$98.03,225.15%,$61.45
ALXN,2021-08-15T16:17:16.404170200Z,$182.50,$75.56,$186.61,$182.49,169.23%,$74.66
ALLE,2021-08-15T16:17:16.404170200Z,$138.01,$77.43,$142.18,$137.42,112.04%,$14.83
ATVI,2021-08-15T16:17:16.404170200Z,$83.85,$51.46,$103.31,$87.80,144.60%,$25.86
AMCR,2021-08-15T16:17:16.404170200Z,$12.15,$5.65,$12.37,$11.59,121.84%,$2.18
A,2021-08-15T16:17:16.404170200Z,$159.23,$62.68,$159.23,$151.88,187.29%,$74.21
AAP,2021-08-15T16:17:16.404170200Z,$206.43,$74.19,$215.40,$210.14,131.34%,$49.26
ALB,2021-08-15T16:17:16.404170200Z,$235.22,$50.09,$239.03,$198.14,331.01%,$164.16
ALL,2021-08-15T16:17:16.404170200Z,$135.06,$71.08,$138.44,$131.32,123.94%,$26.09
AKAM,2021-08-15T16:17:16.404170200Z,$116.29,$80.05,$120.44,$117.17,132.69%,$28.65
ACN,2021-08-15T16:17:16.404170200Z,$323.45,$140.65,$323.45,$315.28,157.85%,$118.54
APD,2021-08-15T16:17:16.404170200Z,$279.74,$171.13,$307.86,$286.85,124.99%,$55.93
ARE,2021-08-15T16:17:16.404170200Z,$205.50,$110.51,$209.07,$197.19,133.79%,$51.91
AAL,2021-08-15T16:17:16.404170200Z,$19.84,$9.04,$30.47,$20.67,68.45%,$-9.14
AOS,2021-08-15T16:17:16.404170200Z,$71.96,$33.80,$72.25,$70.56,155.71%,$25.75
ALK,2021-08-15T16:17:16.404170200Z,$57.62,$23.56,$73.74,$57.84,85.00%,$-10.17
ANSS,2021-08-15T16:17:16.404170200Z,$362.59,$204.46,$403.60,$360.02,139.68%,$103.00
AMGN,2021-08-15T16:17:16.404170200Z,$229.68,$176.04,$257.33,$240.69,99.73%,$-0.62
AMT,2021-08-15T16:17:16.404170200Z,$282.92,$174.02,$286.88,$281.11,127.42%,$60.89
AEE,2021-08-15T16:17:16.404170200Z,$88.84,$59.37,$88.84,$84.40,121.50%,$15.72
ADS,2021-08-15T16:17:16.404170200Z,$92.04,$22.18,$124.44,$97.62,83.94%,$-17.62
AFL,2021-08-15T16:17:16.404170200Z,$57.26,$24.40,$57.48,$54.40,111.75%,$6.02
AMP,2021-08-15T16:17:16.404170200Z,$272.17,$80.05,$272.80,$253.56,167.42%,$109.60
